gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Athaliana_geneID,Gene_Function
Soltu.DM.01G028100,177.0802204,1.431714469,0.376567628,3.802011548,0.000143526,0.010244465,AT2G44480,beta glucosidase
Soltu.DM.01G030110,1330.886306,1.811403121,0.446742835,4.054688689,5.02E-05,0.00489647,AT5G24910,cytochrome P450; family 714; subfamily A; polypeptide
Soltu.DM.01G032110,37.76074804,1.30028087,0.389059406,3.342113957,0.000831429,0.030869621,AT1G24620,EF hand calcium-binding protein family
Soltu.DM.01G033720,1717.828767,-1.238468543,0.240308929,-5.153651794,2.55E-07,0.000111228,AT1G01610,glycerol-3-phosphate acyltransferase
Soltu.DM.01G033740,247.4259376,-1.955424389,0.573783099,-3.407950483,0.000654528,0.026393648,AT2G45970,cytochrome P450; family 86; subfamily A; polypeptide
Soltu.DM.01G034240,4501.197802,2.518580657,0.601354909,4.188176762,2.81E-05,0.003327077,AT2G46140,Late embryogenesis abundant protein
Soltu.DM.01G034270,89.14352863,2.753902711,0.801525902,3.435824976,0.000590752,0.025141823,AT2G46150,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Soltu.DM.01G034410,24406.33412,1.945104359,0.584451078,3.328087554,0.000874444,0.032036499,AT2G46240,BCL-2-associated athanogene
Soltu.DM.01G035320,31.89340425,1.268794446,0.340956115,3.72128374,0.000198213,0.012936167,AT5G08510,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.01G035400,305.1472358,1.118620008,0.321917025,3.474870607,0.0005111,0.0232289,NA,conserved hypothetical protein
Soltu.DM.01G035430,129.6034448,1.587424921,0.492453203,3.223504107,0.001266325,0.041207611,AT2G46660,cytochrome P450; family 78; subfamily A; polypeptide
Soltu.DM.01G035490,7125.005336,5.739145766,1.244788194,4.610540003,4.02E-06,0.000857192,AT3G61890,homeobox
Soltu.DM.01G035690,144.6175721,3.086172941,0.790787894,3.902655775,9.51E-05,0.007757537,AT3G56710,sigma factor binding protein
Soltu.DM.01G037360,146.4314488,1.563646651,0.463605782,3.372793677,0.000744097,0.028519347,AT3G22560,Acyl-CoA N-acyltransferases (NAT) superfamily protein
Soltu.DM.01G038640,58.04258708,1.257131104,0.379383388,3.313616628,0.000920977,0.033208408,AT2G34930,disease resistance family protein / LRR family protein
Soltu.DM.01G039560,1703.957224,1.538980479,0.465039846,3.309351857,0.000935122,0.033538079,AT1G56220,Dormancy/auxin associated family protein
Soltu.DM.01G039700,456.5599787,1.746707746,0.519825811,3.36017895,0.00077892,0.029286855,AT1G56230,Protein of unknown function (DUF1399)
Soltu.DM.01G039720,223.8551934,1.248886075,0.304289046,4.104275499,4.06E-05,0.004265489,AT1G09155,phloem protein 2-B15
Soltu.DM.01G040460,95.74862441,1.538426981,0.481817878,3.192963674,0.001408207,0.042921382,NA,hypothetical protein
Soltu.DM.01G040500,287.4003539,-1.279289416,0.398939843,-3.206722612,0.001342564,0.041836694,AT1G56580,Protein of unknown function; DUF538
Soltu.DM.01G042880,221.6482266,1.603971381,0.47920711,3.347136021,0.000816511,0.030437418,AT4G33940,RING/U-box superfamily protein
Soltu.DM.01G044960,738.4695472,-1.254857749,0.278426783,-4.506957752,6.58E-06,0.001202604,NA,hypothetical protein
Soltu.DM.01G045280,589.6253333,1.090740773,0.318795991,3.421438178,0.000622909,0.025678123,AT2G22570,nicotinamidase
Soltu.DM.01G046220,3840.70278,2.901989044,0.800344216,3.625926178,0.000287928,0.015985827,AT1G17870,ethylene-dependent gravitropism-deficient and yellow-green-like
Soltu.DM.01G047220,197.4541732,-1.302240671,0.343806898,-3.787709546,0.000152042,0.010574965,AT5G67210,Protein of unknown function (DUF579)
Soltu.DM.01G047300,1091.327184,-1.12198392,0.305389288,-3.673946549,0.000238833,0.014402737,AT2G23360,Plant protein of unknown function (DUF869)
Soltu.DM.01G047570,2704.355732,1.795780174,0.568093114,3.161066612,0.001571925,0.045669423,AT5G47900,Protein of unknown function (DUF1624)
Soltu.DM.01G047590,280.5369734,2.755650522,0.341098095,8.078762565,6.54E-16,2.37E-12,AT5G42900,conserved hypothetical protein
Soltu.DM.01G048150,79.38389969,1.050091218,0.310649487,3.380308874,0.000724044,0.028047047,AT2G03550,alpha/beta-Hydrolases superfamily protein
Soltu.DM.01G048600,5270.00687,1.785203905,0.256552087,6.95844624,3.44E-12,5.07E-09,AT2G15890,maternal effect embryo arrest
Soltu.DM.01G048750,230.1170727,1.992705428,0.427677246,4.659367422,3.17E-06,0.000719278,AT2G23460,extra-large G-protein
Soltu.DM.01G048820,1385.381242,-1.088100165,0.298100028,-3.650117623,0.00026212,0.015136228,AT1G49430,long-chain acyl-CoA synthetase
Soltu.DM.01G049070,16.28208403,1.398720177,0.45016076,3.107157048,0.00188896,0.049545377,NA,hypothetical protein
Soltu.DM.01G049140,53.89969231,1.555900233,0.500706065,3.107412394,0.001887329,0.049545377,AT4G36750,Quinone reductase family protein
Soltu.DM.01G049180,2362.823501,1.031224689,0.268161591,3.845534642,0.00012029,0.009047571,AT3G18830,polyol/monosaccharide transporter
Soltu.DM.01G049210,243.7943596,1.379224876,0.403748438,3.416050064,0.000635366,0.025999831,AT5G38830,hypothetical protein
Soltu.DM.01G049230,164.9540372,1.985942693,0.531735212,3.734833899,0.000187839,0.01251027,AT1G49320,conserved hypothetical protein
Soltu.DM.01G049950,534.7569632,-1.142398172,0.354773554,-3.220077032,0.001281562,0.041394058,AT2G16440,Minichromosome maintenance (MCM2/3/5) family protein
Soltu.DM.01G050660,6273.362589,1.818901266,0.578755942,3.142777694,0.001673529,0.046987336,AT1G75750,GAST1 protein homolog
Soltu.DM.01G051570,483.1862493,1.279814257,0.365287793,3.503577947,0.000459052,0.021592871,AT1G47670,Transmembrane amino acid transporter family protein
Soltu.DM.01G051960,242.9430362,-1.254559298,0.380279355,-3.299046559,0.000970138,0.034545975,AT4G35320,conserved hypothetical protein
Soltu.DM.02G001450,7989.789279,1.600151403,0.274546762,5.828338291,5.60E-09,4.35E-06,AT5G23240,DNAJ heat shock N-terminal domain-containing protein
Soltu.DM.02G002070,314.0135362,-1.023569823,0.326794374,-3.13215252,0.001735297,0.047698758,AT1G80710,DROUGHT SENSITIVE
Soltu.DM.02G003310,83.83030437,1.910549664,0.561139263,3.404769171,0.0006622,0.026500174,AT4G27290,S-locus lectin protein kinase family protein
Soltu.DM.02G004070,113.2391083,1.108392118,0.34160728,3.244638461,0.001175998,0.039160896,AT1G11700,Protein of unknown function; DUF584
Soltu.DM.02G004510,741.9599498,1.121636709,0.340691071,3.292239812,0.000993928,0.035069395,AT5G17300,Homeodomain-like superfamily protein
Soltu.DM.02G004670,1075.773161,1.744209897,0.363839192,4.793903282,1.64E-06,0.000445107,AT5G16340,AMP-dependent synthetase and ligase family protein
Soltu.DM.02G004910,209.1036486,1.273606217,0.376051177,3.3867896,0.000707156,0.027688463,AT1G76490,hydroxy methylglutaryl CoA reductase
Soltu.DM.02G006640,285.6219648,1.650274323,0.417988516,3.948133168,7.88E-05,0.006741367,AT5G49610,F-box family protein
Soltu.DM.02G007370,1194.453806,1.023335563,0.243129443,4.209015379,2.56E-05,0.003084916,AT2G22660,Protein of unknown function (duplicated DUF1399)
Soltu.DM.02G008860,62.33197778,1.213634755,0.308613859,3.932534846,8.41E-05,0.007120128,AT5G66631,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.02G008920,1106.72944,2.80714217,0.674687957,4.160652555,3.17E-05,0.003579524,AT2G23790,Protein of unknown function (DUF607)
Soltu.DM.02G010600,472.570535,-1.057420586,0.334659892,-3.159687223,0.001579386,0.045669423,AT5G40610,NAD-dependent glycerol-3-phosphate dehydrogenase family protein
Soltu.DM.02G010730,872.9563202,2.987492218,0.622535378,4.798911554,1.60E-06,0.000439617,AT3G27250,conserved hypothetical protein
Soltu.DM.02G010740,1621.666664,2.756890869,0.607350802,4.53920676,5.65E-06,0.001078307,AT3G48510,conserved hypothetical protein
Soltu.DM.02G012030,3788.214516,1.206090973,0.322609187,3.738551228,0.000185084,0.012436031,AT1G02305,Cysteine proteinases superfamily protein
Soltu.DM.02G013800,695.1200704,-1.082823177,0.317247978,-3.413175974,0.000642105,0.026178861,AT5G46280,Minichromosome maintenance (MCM2/3/5) family protein
Soltu.DM.02G014610,81.44458085,-1.166065134,0.30995078,-3.762097751,0.000168494,0.01157135,AT1G29630,5'-3' exonuclease family protein
Soltu.DM.02G015870,3032.040293,1.423757434,0.367887225,3.870092072,0.000108794,0.008643982,AT1G09850,xylem bark cysteine peptidase
Soltu.DM.02G016120,19.34147051,2.501678296,0.570996273,4.381251533,1.18E-05,0.001809049,AT5G46230,Protein of unknown function; DUF538
Soltu.DM.02G016630,882.3574088,-1.374505052,0.384543045,-3.574385413,0.000351052,0.017982097,AT5G45950,GDSL-like Lipase/Acylhydrolase superfamily protein
Soltu.DM.02G017040,79.7585743,1.052544297,0.221315135,4.755862266,1.98E-06,0.000505727,AT5G46100,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.02G017330,6693.47437,1.948458612,0.481032892,4.050572516,5.11E-05,0.004921607,AT1G28330,dormancy-associated protein-like
Soltu.DM.02G017790,775.5894742,1.771037656,0.508468751,3.483080628,0.000495679,0.022622501,AT3G22850,Aluminium induced protein with YGL and LRDR motifs
Soltu.DM.02G017790,775.5894742,1.771037656,0.508468751,3.483080628,0.000495679,0.022622501,AT4G27450,Aluminium induced protein with YGL and LRDR motifs
Soltu.DM.02G019360,47.11113568,1.092016243,0.319360673,3.419382329,0.000627635,0.025731841,AT1G55890,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.02G020260,341.7212463,-1.135470933,0.365408761,-3.107399317,0.001887413,0.049545377,AT1G11820,O-Glycosyl hydrolases family 17 protein
Soltu.DM.02G020310,19.38305603,2.388408945,0.747597846,3.194777725,0.001399386,0.042847577,AT5G05920,deoxyhypusine synthase
Soltu.DM.02G020430,73.92146904,1.039374963,0.281783097,3.68856392,0.000225523,0.01386905,AT1G62300,WRKY DNA-binding protein
Soltu.DM.02G020570,1582.032976,1.724885131,0.247056172,6.981752827,2.92E-12,4.88E-09,AT4G04330,Chaperonin-like RbcX protein
Soltu.DM.02G022080,509.8632771,-1.313452065,0.366660467,-3.582202568,0.000340709,0.017534857,AT5G44635,minichromosome maintenance (MCM2/3/5) family protein
Soltu.DM.02G023340,524.6536976,1.367978147,0.392593304,3.484466326,0.00049312,0.022554754,AT2G17730,NEP-interacting protein
Soltu.DM.02G023400,952.7482739,1.235911996,0.38348655,3.2228301,0.001269308,0.041223876,AT2G17760,Eukaryotic aspartyl protease family protein
Soltu.DM.02G024270,171.7950474,-1.468208709,0.40860636,-3.593210615,0.000326628,0.017175603,AT4G38960,B-box type zinc finger family protein
Soltu.DM.02G024670,15255.56401,5.677807662,1.101025817,5.156834265,2.51E-07,0.000111228,NA,Dehydrin domain containing protein
Soltu.DM.02G025610,37.13391739,-1.959083455,0.62999853,-3.109663532,0.001873006,0.049536748,AT5G16030,conserved hypothetical protein
Soltu.DM.02G026090,76.94650748,1.321754768,0.341799303,3.86704933,0.00011016,0.008689081,AT5G38260,Protein kinase superfamily protein
Soltu.DM.02G026710,123.0740876,3.071178558,0.874663566,3.51126842,0.000445974,0.021106197,NA,conserved hypothetical protein
Soltu.DM.02G027540,288.0457647,-1.290457019,0.397853248,-3.243550298,0.0011805,0.039235844,AT2G22900,Galactosyl transferase GMA12/MNN10 family protein
Soltu.DM.02G029320,1720.794226,1.041160915,0.190117489,5.476407891,4.34E-08,2.86E-05,AT5G66880,sucrose nonfermenting 1(SNF1)-related protein kinase 2.3
Soltu.DM.02G029320,1720.794226,1.041160915,0.190117489,5.476407891,4.34E-08,2.86E-05,AT4G33950,Protein kinase superfamily protein
Soltu.DM.02G029350,181.5175613,1.369035923,0.289578467,4.727685504,2.27E-06,0.000568256,AT4G33950,Protein kinase superfamily protein
Soltu.DM.02G030840,1050.719175,3.654912454,1.071149714,3.412139692,0.000644551,0.026178861,AT3G29575,ABI five binding protein
Soltu.DM.02G031080,77.77292651,1.186850464,0.316104322,3.754616379,0.000173607,0.011847737,AT5G39350,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.02G032660,196.5192475,1.588701028,0.474915961,3.345225597,0.000822157,0.030595472,AT3G28050,nodulin MtN21 /EamA-like transporter family protein
Soltu.DM.02G032680,38.81705701,1.407645954,0.448213166,3.140572521,0.00168618,0.047001445,AT3G01420,Peroxidase superfamily protein
Soltu.DM.02G033580,176.9410178,-1.331865723,0.174096522,-7.650156993,2.01E-14,4.86E-11,AT5G14410,conserved hypothetical protein
Soltu.DM.02G033820,70.8425189,1.842931461,0.575219969,3.203872535,0.001355925,0.041929667,AT5G40720,Domain of unknown function (DUF23)
Soltu.DM.02G033970,571.3853162,4.789510897,1.064582953,4.498955093,6.83E-06,0.001208647,AT3G27250,conserved hypothetical protein
Soltu.DM.02G034100,294.5795948,1.119159702,0.354248432,3.159250965,0.001581752,0.045669423,AT3G01860,conserved hypothetical protein
Soltu.DM.02G034180,23.74444837,1.291676723,0.400214683,3.227459602,0.001248947,0.040825181,AT5G56310,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.02G034180,23.74444837,1.291676723,0.400214683,3.227459602,0.001248947,0.040825181,AT5G56310,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.02G034360,60.2453119,1.45084264,0.301061922,4.819083832,1.44E-06,0.000402519,AT5G14080,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.02G034550,56.24864497,1.403039374,0.312701724,4.486829677,7.23E-06,0.00126917,AT3G26782,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.03G000220,64.27197098,1.075138973,0.312836362,3.436745547,0.000588748,0.025141823,AT3G22450,Ribosomal L18p/L5e family protein
Soltu.DM.03G000550,37.26644053,-1.417340155,0.434330938,-3.263272384,0.001101336,0.037757618,AT5G43530,Helicase protein with RING/U-box domain
Soltu.DM.03G001970,557.6837612,2.633213973,0.823185044,3.198811726,0.001379953,0.042371745,AT1G28330,dormancy-associated protein-like
Soltu.DM.03G002700,147.8603882,2.257144202,0.41377811,5.454962816,4.90E-08,3.14E-05,AT3G14470,NB-ARC domain-containing disease resistance protein
Soltu.DM.03G004180,76.44581687,4.027456998,1.163697066,3.460915317,0.000538342,0.023935891,AT2G18340,late embryogenesis abundant domain-containing protein / LEA domain-containing protein
Soltu.DM.03G005570,494.0394728,3.647461085,1.098928723,3.319106151,0.000903061,0.032711542,AT2G20340,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Soltu.DM.03G011070,64.95140077,1.142589791,0.253624697,4.505041525,6.64E-06,0.001202604,AT1G55570,SKU5  similar
Soltu.DM.03G011660,48.863397,-1.931786461,0.412003279,-4.688764769,2.75E-06,0.0006546,AT1G25450,3-ketoacyl-CoA synthase
Soltu.DM.03G012480,3019.674876,4.556995907,1.080222973,4.218569703,2.46E-05,0.003007125,AT3G11410,protein phosphatase 2CA
Soltu.DM.03G014370,81.83941831,1.257678985,0.278588145,4.514474174,6.35E-06,0.001191198,AT3G46790,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.03G015440,1132.77248,2.404046239,0.4483038,5.362538171,8.21E-08,4.25E-05,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G015460,36.04196645,3.415693096,0.991923638,3.443504083,0.000574228,0.024803456,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G015480,315.3544731,1.823445021,0.429107922,4.249385594,2.14E-05,0.002794351,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G015490,666.432499,3.206605968,0.647006098,4.956067617,7.19E-07,0.000240924,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G015500,156.1282283,3.169446126,0.583728873,5.429654537,5.65E-08,3.32E-05,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G015510,884.1054179,2.899306516,0.417717059,6.940838198,3.90E-12,5.30E-09,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein
Soltu.DM.03G016270,710.4920887,-1.427875833,0.425278176,-3.357510241,0.000786478,0.029469247,AT5G51750,subtilase 1.3
Soltu.DM.03G016900,98.68638761,1.221010857,0.307115802,3.975734399,7.02E-05,0.006159014,AT3G61040,cytochrome P450; family 76; subfamily C; polypeptide
Soltu.DM.03G016950,89.29766679,1.448473091,0.326811802,4.432132139,9.33E-06,0.001497754,AT3G61040,cytochrome P450; family 76; subfamily C; polypeptide
Soltu.DM.03G017160,223.4081978,1.382340174,0.254288676,5.436105918,5.45E-08,3.29E-05,NA,hypothetical protein
Soltu.DM.03G017170,866.4674681,1.186224534,0.238740012,4.968687587,6.74E-07,0.000232931,AT5G52190,Sugar isomerase (SIS) family protein
Soltu.DM.03G017690,163.1176462,1.060322033,0.253447042,4.183603899,2.87E-05,0.003328847,AT4G25270,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.03G018100,1754.995737,-1.328463674,0.348638859,-3.810429155,0.000138726,0.009967194,AT5G23940,HXXXD-type acyl-transferase family protein
Soltu.DM.03G018250,37.49368106,-2.273092574,0.706202309,-3.218755513,0.001287482,0.041401012,AT4G25640,detoxifying efflux carrier
Soltu.DM.03G018440,190.7080841,1.648367972,0.4115335,4.005428404,6.19E-05,0.005615316,AT1G17860,Kunitz family trypsin and protease inhibitor protein
Soltu.DM.03G019590,75.5476822,1.003923995,0.263306615,3.812756456,0.000137426,0.00993938,AT5G16860,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.03G020730,74.30604439,1.296584696,0.398672181,3.252257766,0.001144921,0.038524,AT3G03000,EF hand calcium-binding protein family
Soltu.DM.03G021110,3213.271189,1.061023304,0.257661724,4.11789259,3.82E-05,0.004120703,AT3G03150,conserved hypothetical protein
Soltu.DM.03G021910,348.3907558,1.445632002,0.454783085,3.178728603,0.001479225,0.044156711,AT5G24380,YELLOW STRIPE like
Soltu.DM.03G022130,41.47098931,-1.493526618,0.425530249,-3.509801294,0.000448442,0.021176953,AT5G24330,ARABIDOPSIS TRITHORAX-RELATED PROTEIN
Soltu.DM.03G022640,48.48473873,1.546024662,0.397612739,3.88826743,0.000100962,0.008140557,AT5G53110,RING/U-box superfamily protein
Soltu.DM.03G022680,204.9520227,1.492006215,0.343914691,4.338303233,1.44E-05,0.002112087,AT5G38260,Protein kinase superfamily protein
Soltu.DM.03G022710,2447.205809,3.783380875,0.920732008,4.109101067,3.97E-05,0.004197618,AT3G11410,highly ABA-induced PP2C gene
Soltu.DM.03G022710,2447.205809,3.783380875,0.920732008,4.109101067,3.97E-05,0.004197618,AT1G07430,highly ABA-induced PP2C gene
Soltu.DM.03G023750,18.40745645,1.909746758,0.549996104,3.472291426,0.000516036,0.023404375,AT2G22410,SLOW GROWTH
Soltu.DM.03G024470,2170.805811,5.85905761,1.244660725,4.707353171,2.51E-06,0.00060703,AT5G50360,conserved hypothetical protein
Soltu.DM.03G024520,1687.473281,-1.384821684,0.405806676,-3.412515775,0.000643662,0.026178861,AT5G03860,malate synthase
Soltu.DM.03G024610,119.6970723,1.054601007,0.291798101,3.614146232,0.000301339,0.016524305,AT5G59200,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.03G025330,129.0192987,-1.373039662,0.248539925,-5.524422928,3.31E-08,2.32E-05,AT3G48310,cytochrome P450; family 71; subfamily A; polypeptide
Soltu.DM.03G025440,55.63299738,-1.530432617,0.361803982,-4.2300049,2.34E-05,0.002957761,AT3G48280,cytochrome P450; family 71; subfamily A; polypeptide
Soltu.DM.03G026040,31.52729755,1.083481764,0.334553241,3.238592937,0.001201209,0.039561748,AT1G64310,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.03G028040,2054.19098,1.275279853,0.234084237,5.447952708,5.10E-08,3.17E-05,AT1G52720,conserved hypothetical protein
Soltu.DM.03G028070,1104.926204,1.769866689,0.332502202,5.32287209,1.02E-07,5.05E-05,AT5G62865,conserved hypothetical protein
Soltu.DM.03G029900,1413.709602,2.177099861,0.255690775,8.514581189,1.67E-17,7.28E-14,AT5G61380,CCT motif -containing response regulator protein
Soltu.DM.03G029920,30.56808894,1.207893098,0.349230269,3.458729681,0.000542729,0.023971492,AT5G66520,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.03G030480,2698.484565,3.146185644,0.997716369,3.153386816,0.001613878,0.046107774,AT3G15670,Late embryogenesis abundant protein (LEA) family protein
Soltu.DM.03G030740,3266.474808,1.642059788,0.474209104,3.462733579,0.000534718,0.023935891,AT3G15790,methyl-CPG-binding domain
Soltu.DM.03G031480,119.2618724,1.488177738,0.457583104,3.252256746,0.001144926,0.038524,AT5G25280,serine-rich protein-related
Soltu.DM.03G033160,94.37317175,1.328102299,0.309157309,4.295878694,1.74E-05,0.002397493,AT3G18020,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.03G033250,1316.317766,1.325162743,0.426588396,3.10642004,0.001893675,0.049549649,AT1G73750,conserved hypothetical protein
Soltu.DM.03G033270,37.56132759,1.007767786,0.31343897,3.215196202,0.001303554,0.041691812,AT3G18230,Octicosapeptide/Phox/Bem1p family protein
Soltu.DM.03G033450,1355.467127,1.237238584,0.300653951,4.115158245,3.87E-05,0.004135486,AT1G73680,alpha dioxygenase
Soltu.DM.03G034550,99.33966582,-1.441143655,0.457405004,-3.15069499,0.001628825,0.046171248,AT1G80280,alpha/beta-Hydrolases superfamily protein
Soltu.DM.03G035250,2550.553884,1.000708057,0.263698938,3.794888464,0.00014771,0.010366115,AT1G52190,Major facilitator superfamily protein
Soltu.DM.03G036380,278.260414,-1.926808227,0.519045399,-3.712215215,0.000205453,0.013193851,AT1G72970,Glucose-methanol-choline (GMC) oxidoreductase family protein
Soltu.DM.03G037120,1844.277035,1.016545443,0.247811903,4.102084817,4.09E-05,0.004285384,AT1G17420,PLAT/LH2 domain-containing lipoxygenase family protein
Soltu.DM.03G037120,1844.277035,1.016545443,0.247811903,4.102084817,4.09E-05,0.004285384,AT1G17420,lipoxygenase
Soltu.DM.03G037130,457.4640148,1.052850334,0.227928908,4.619204919,3.85E-06,0.000841312,AT5G07990,Cytochrome P450 superfamily protein
Soltu.DM.03G037200,16.15339852,1.851957404,0.592573145,3.125280682,0.001776355,0.048339054,AT3G13840,GRAS family transcription factor
Soltu.DM.04G000180,572.4916275,1.054689481,0.326111728,3.234135393,0.001220116,0.039942745,AT5G07990,cytochrome P450; family 71; subfamily B; polypeptide
Soltu.DM.04G000490,3830.06169,3.417743217,0.802950831,4.256478834,2.08E-05,0.002740008,AT1G69260,ABI five binding protein
Soltu.DM.04G000770,329.1325319,1.14233408,0.320950182,3.559225528,0.00037195,0.018700582,NA,conserved hypothetical protein
Soltu.DM.04G001100,116.7488453,1.929231189,0.439959518,4.385019778,1.16E-05,0.001790625,AT1G69850,nitrate transporter 1:2
Soltu.DM.04G001340,994.2789146,1.088738345,0.233541854,4.661855359,3.13E-06,0.000719278,AT1G68750,phosphoenolpyruvate carboxylase
Soltu.DM.04G002270,22.53841726,2.202337778,0.639670509,3.442925299,0.000575458,0.024807378,AT1G25390,Protein kinase superfamily protein
Soltu.DM.04G002360,1882.530711,1.77876967,0.388599413,4.577386406,4.71E-06,0.000931798,AT1G68190,B-box zinc finger family protein
Soltu.DM.04G002420,107.0804857,-1.488470238,0.426022003,-3.493881136,0.000476053,0.022171371,AT1G71140,MATE efflux family protein
Soltu.DM.04G003320,193.5164157,1.278795708,0.277007159,4.616471696,3.90E-06,0.000841312,AT4G31940,cytochrome P450; family 82; subfamily C; polypeptide
Soltu.DM.04G004640,7212.148303,1.1608126,0.274713472,4.225539406,2.38E-05,0.002982354,AT5G08380,alpha-galactosidase
Soltu.DM.04G006580,607.9045335,1.982461318,0.382128466,5.187944615,2.13E-07,0.000100628,AT5G52450,MATE efflux family protein
Soltu.DM.04G007210,490.6476035,1.995316736,0.609931785,3.271376876,0.001070252,0.036933041,AT2G39420,alpha/beta-Hydrolases superfamily protein
Soltu.DM.04G007210,490.6476035,1.995316736,0.609931785,3.271376876,0.001070252,0.036933041,AT3G55180,alpha/beta-Hydrolases superfamily protein
Soltu.DM.04G007550,19.40935478,2.788780107,0.807985765,3.451521337,0.000557436,0.024368222,AT3G22560,Acyl-CoA N-acyltransferases (NAT) superfamily protein
